file,base,total_verse_lines,with_expected_block_id,with_any_block_id,missing_block_id
1-maccabees/1-maccabees-05.md,1-maccabees-05,68,68,68,0
1-maccabees/1-maccabees-15.md,1-maccabees-15,41,41,41,0
1-maccabees/1-maccabees-04.md,1-maccabees-04,61,61,61,0
1-maccabees/1-maccabees-14.md,1-maccabees-14,49,49,49,0
1-maccabees/1-maccabees-10.md,1-maccabees-10,86,86,86,0
exodus/exodus-04.md,exodus-04,31,31,31,0
exodus/exodus-30.md,exodus-30,38,38,38,0
exodus/exodus-20.md,exodus-20,26,26,26,0
exodus/exodus-14.md,exodus-14,31,31,31,0
exodus/exodus-34.md,exodus-34,35,35,35,0
exodus/exodus-10.md,exodus-10,29,29,29,0
exodus/exodus-24.md,exodus-24,17,17,17,0
exodus/exodus-35.md,exodus-35,35,35,35,0
exodus/exodus-01.md,exodus-01,22,22,22,0
exodus/exodus-11.md,exodus-11,10,10,10,0
exodus/exodus-40.md,exodus-40,38,38,38,0
exodus/exodus-25.md,exodus-25,40,40,40,0
exodus/exodus-05.md,exodus-05,23,23,23,0
exodus/exodus-31.md,exodus-31,18,18,18,0
exodus/exodus-21.md,exodus-21,37,37,37,0
exodus/exodus-15.md,exodus-15,27,27,27,0
exodus/exodus-36.md,exodus-36,38,38,38,0
exodus/exodus-02.md,exodus-02,25,25,25,0
exodus/exodus-12.md,exodus-12,51,51,51,0
exodus/exodus-26.md,exodus-26,37,37,37,0
exodus/exodus-06.md,exodus-06,30,30,30,0
exodus/exodus-32.md,exodus-32,35,35,35,0
exodus/exodus-22.md,exodus-22,30,30,30,0
exodus/exodus-16.md,exodus-16,36,36,36,0
exodus/exodus-07.md,exodus-07,29,29,29,0
exodus/exodus-33.md,exodus-33,23,23,23,0
exodus/exodus-23.md,exodus-23,33,33,33,0
exodus/exodus-17.md,exodus-17,15,15,15,0
exodus/exodus-37.md,exodus-37,29,29,29,0
exodus/exodus-03.md,exodus-03,22,22,22,0
exodus/exodus-13.md,exodus-13,22,22,22,0
exodus/exodus-27.md,exodus-27,21,21,21,0
exodus/exodus-08.md,exodus-08,28,28,28,0
exodus/exodus-18.md,exodus-18,26,26,26,0
exodus/exodus-38.md,exodus-38,31,31,31,0
exodus/exodus-28.md,exodus-28,43,43,43,0
exodus/exodus-39.md,exodus-39,43,43,43,0
exodus/exodus-29.md,exodus-29,46,46,46,0
exodus/exodus-09.md,exodus-09,35,35,35,0
exodus/exodus-19.md,exodus-19,25,25,25,0
1-thessalonians/1-thessalonians-04.md,1-thessalonians-04,18,18,18,0
1-thessalonians/1-thessalonians-05.md,1-thessalonians-05,28,28,28,0
1-thessalonians/1-thessalonians-01.md,1-thessalonians-01,10,10,10,0
1-thessalonians/1-thessalonians-02.md,1-thessalonians-02,19,19,19,0
1-thessalonians/1-thessalonians-03.md,1-thessalonians-03,13,13,13,0
ezekiel/ezekiel-18.md,ezekiel-18,32,32,32,0
ezekiel/ezekiel-08.md,ezekiel-08,18,18,18,0
ezekiel/ezekiel-28.md,ezekiel-28,26,26,26,0
ezekiel/ezekiel-38.md,ezekiel-38,23,23,23,0
ezekiel/ezekiel-29.md,ezekiel-29,21,21,21,0
ezekiel/ezekiel-39.md,ezekiel-39,29,29,29,0
ezekiel/ezekiel-19.md,ezekiel-19,14,14,14,0
ezekiel/ezekiel-48.md,ezekiel-48,35,35,35,0
ezekiel/ezekiel-09.md,ezekiel-09,11,11,11,0
